"id_Producto","id_Marca","id_Categoria","Nombre","Precio","Imagen","Descripcion","Subcategoria"
"9","1","4","MOROCCANOIL PACK HIDRATACIÓN","81.50","images/moroccanoil_hydrating_champ_-_acond_-_tratanmieto_hydrating.jpg","Para cabellos que necesitan un extra de hidratación…","hidratacion"
"10","1","4","MOROCCANOIL PACK REPAIR","75.00","images/pack-morocanoil-reparador3.jpg","Esta caja de regalo no necesita envoltorio. ¡Es el regalo perfecto!","reparacion"
"11","1","4","MOROCCANOIL PACK VOLUMEN","93.50","images/pack-morocanoil-volumen3.jpg","Esta caja de regalo no necesita envoltorio. ¡Es el regalo perfecto!","volumen"
"12","1","3","MOROCCANOIL SMOOTH CONDITIONER REDUCTOR VOLUMEN","28.50","images/hair_smoothing_conditioner.jpg","PARA TODO TIPO DE CABELLO : Esta fórmula acondiciona, desenreda, suaviza y controla el cabello rebelde y encrespado. El Acondicionador Suavizante Moroccanoil®, incluye nuestro ingrediente exclusivo AminoRenew™, que restaura los aminoácidos vencidos para fortalecer y alinear la estructura de la queratina natural del cabello.","volumen"
"13","1","2","MOROCCANOIL SMOOTH SHAMPOO REDUCTOR VOLUMEN.","26.50","images/hair_smoothing_shampoo.jpg","PARA TODO TIPO DE CABELLO: Suavice y controle el cabello rebelde y encrespado con esta suave fórmula limpiadora. El Champú Suavizante Moroccanoil®, con nuestro exclusivo ingrediente AminoRenew™, restaura los aminoácidos vencidos para fortalecer y alinear la estructura de la queratina natural del cabello.","volumen"
"14","1","2","CHAMPÚ SECO TONOS CLAROS","27.00","images/dryshampoolight.png","Para Todo Tipo de Cabello:  Moroccanoil Dry Shampoo está enriquecido con Aceite de Argán ,El Champú Seco Tonos Claros Moroccanoil® contiene almidones ultra finos de arroz que absorben la grasa y los olores dejando el cabello renovado, fresco y con volumen. La fórmula, impregnada con aceite de argán, provee protección UV y contiene matices violetas para equilibrar los tonos cobrizos en cabellos rubios, y resaltar lo mejor en cabellos con tonos claros.","claro"
"15","1","2","CHAMPÚ SECO TONOS OSCUROS","27,00","images/dryshampoodark.png","Para Todo Tipo de Cabello : Moroccanoil Dry Shampoo está enriquecido con Aceite de Argán ,El Champú Seco Oscuros Moroccanoil® contiene almidones ultra finos de arroz que absorben la grasa y los olores dejando el cabello limpio y fresco. La fórmula, impregnada con aceite de argán, provee protección UV y actúa de inmediato sin dejar residuos opacos mientras mantiene la riqueza natural de los tonos de cabellos oscuros y morenos.","oscuro"
"16","1","2","Moroccanoil Clarifying Shampoo","24.50","images/hair_clarifying_shampoo.jpg","PARA CABELLO SOBRECARGADO POR LA ACUMULACIÓN DE PRODUCTOS :  Champú Purificante nutre su cabello mientras limpia y elimina suavemente las impurezas. No altera el color. Sin sulfatos, fosfatos ni parabenos. Puede ser usado antes de un tratamiento de color, permanente, o tratamientos químicos y obtener mejores resultados.",""
"17","1","3","Moroccanoil Extra Volume Conditioner","26.50","images/hair_extravolume_conditioner.jpg","PARA CABELLO FINO : Desenreda suavemente su cabello mientras añade volumen. El Acondicionador Extra Volumen Moroccanoil® provee volumen, cuerpo, brillo, y manejabilidad al cabello fino sin hacerlo más pesado o comprimido.","volumen"
"18","1","2","Moroccanoil Extra Volume Shampoo","24.50","images/extra_volume.jpg","PARA CABELLO FINO  : ¡Añada volumen y llene de vida el cabello fino y apagado! El Champú Extra Volumen Moroccanoil® actúa sin añadir peso, limpia suavemente, y añade volumen al cabello fino y sin vida. Impregnado con aceite de argán rico en antioxidantes y nutrientes revitalizantes","volumen"
"19","1","3","Moroccanoil Hydrating Conditioner","24.50","images/Hydrating_Conditioner.png","PARA TODO TIPO DE CABELLO : Acondicione y desenrede el cabello deshidratado con el Acondicionador Hidratante Moroccanoil® . Esta fórmula suave de uso diario deja el cabello más suave, manejable, y facilita la creación de estilos y peinados.","hidratacion"
"20","1","2","Moroccanoil Hydrating Shampoo","22.00","images/hair_hydrating_shampoo.jpg","PARA TODO TIPO DE CABELLO : Aporte al cabello seco y deshidratado toda la hidración que tanto necesita. El Champú Hidratante Moroccanoil® acondiciona el cabello con aceite de argán rico en antioxidantes, vitamina A, vitamina E, y algas rojas para lograr un cabello que se ve y se siente más saludable.","hidratacion"
"21","1","3","Moroccanoil Moisture Repair Conditioner","22.05","images/acond._reparador.jpg","PARA EL CABELLO DEBILITADO O DAÑADO : Recupere el cabello dañado a causa de los tintes, procesos químicos, o el uso del calor para peinados y estilismos. El Acondicionador Reparador Hidratante Moroccanoil® acondiciona y desenreda suave y efectivamente el cabello dejándolo hidratado, fuerte y manejable.","reparacion"
"22","1","champú","Moroccanoil Moisture Repair Shampoo","22.50","images/champu_reparador.jpg","PARA EL CABELLO DEBILITADO O DAÑADO : Repare el cabello dañado a causa de los tintes, procesos químicos, o el uso del calor para peinados y estilismos. El Champú Reparador Hidratante Moroccanoil® limpia suave y efectivamente el cabello dejándolo con vida, nutrido, fuerte y manejable.","reparacion"
